# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 15:46:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30000 0.0900000036 1.0816895926    0.090 -1.384  3.4371  3.476    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.229 10.004 12.208 8.618
0.0152 0.01508 6.30000 0.1001878753 1.1726738709    0.100 -1.293  3.4446  3.462    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.001 9.694 11.813 8.327
0.0152 0.01508 6.30000 0.1037105918 1.2013752574    0.104 -1.283  3.4455  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.78e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.977 9.657 11.766 8.294
0.0152 0.01508 6.30000 0.1074484512 1.2304755214    0.107 -1.264  3.4472  3.473    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.929 9.592 11.683 8.232
0.0152 0.01508 6.30000 0.1122226864 1.2657856978    0.112 -1.230  3.4499  3.469    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.845 9.477 11.538 8.124
0.0152 0.01508 6.30000 0.1197603792 1.3177341479    0.120 -1.166  3.4548  3.453    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.685 9.270 11.281 7.929
0.0152 0.01508 6.30000 0.1224919334 1.3355205357    0.122 -1.166  3.4549  3.464    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.59e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.685 9.267 11.276 7.926
0.0152 0.01508 6.30000 0.1272438467 1.3652659897    0.127 -1.166  3.4553  3.481    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.684 9.259 11.263 7.920
0.0152 0.01508 6.30000 0.1319442242 1.3933011569    0.132 -1.152  3.4567  3.489    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.649 9.208 11.196 7.873
0.0152 0.01508 6.30000 0.1365758181 1.4196841383    0.136 -1.125  3.4590  3.486    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.65e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.583 9.118 11.083 7.789
