Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
Berkeley_87         ,259,2057959972459540352,1,1.0,305.3400578,37.3152094,-3.5145335,-6.4237129,0.56411363,15.838528,16.628012,14.952779,            ,305.3400774,37.3152379
Berkeley_87         ,259,2057960281697198592,1,1.0,305.3364473,37.3428128,-3.590724,-6.29317131,0.57561433,14.896418,15.702987,13.998932,            ,305.3364674,37.3428407
Berkeley_87         ,259,2057962102763233792,1,1.0,305.5285874,37.2978598,-3.64081785,-6.24476815,0.55251247,14.246587,15.064881,13.344049,            ,305.5286078,37.2978875
Berkeley_87         ,259,2057964095628082816,1,1.0,305.5440182,37.3838806,-3.63090224,-6.3955948,0.50326314,15.625431,16.56626,14.655036,            ,305.5440386,37.383909
Berkeley_87         ,259,2057964507944938624,1,1.0,305.568736,37.4014674,-3.58075511,-6.39576548,0.54854239,13.638598,14.681994,12.625751,            ,305.5687561,37.4014958
Berkeley_87         ,259,2057964920261827072,1,1.0,305.4263587,37.3144343,-3.61216875,-6.36318734,0.52919246,14.939471,15.775762,14.021869,   -7.330224,305.4263789,37.3144626
Berkeley_87         ,259,2057965190838243200,1,1.0,305.4062844,37.3340583,-3.54547417,-6.35141034,0.58423566,18.315472,19.712578,17.146734,            ,305.4063043,37.3340865
Berkeley_87         ,259,2057965431356428672,1,1.0,305.491999,37.3498831,-3.62443844,-6.41977623,0.58822736,18.337679,19.838968,17.145159,            ,305.4920192,37.3499116
Berkeley_87         ,259,2057965607456610176,1,1.0,305.4236,37.3563005,-3.60166532,-6.27377046,0.55576298,14.471591,15.313015,13.556798,            ,305.4236201,37.3563284
Berkeley_87         ,259,2057965637514300288,1,1.0,305.4411485,37.3737664,-3.68224252,-6.32491,0.56782492,11.728445,12.604034,10.800439,            ,305.4411691,37.3737945
Berkeley_87         ,259,2057965641816346752,1,1.0,305.4364469,37.3674999,-3.70546839,-6.41867304,0.54190711,14.956786,15.956319,13.962415,  126.835070,305.4364676,37.3675285
