cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
11,2.05797E+18,305.441148,37.373766,-3.682243,-6.32491,0.011113,0.013177,0.567825,0.011395,11.728445,12.604034,10.800439,1.011236,0.994612,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.473425,37.367493,-3.686089,-6.220525,0.016089,0.017765,0.558707,0.016035,14.350386,15.218721,13.420958,0.973776,0.993116,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.42923,37.370422,-3.615064,-6.423639,0.013177,0.014569,0.55927,0.013227,13.766478,14.640445,12.835337,1.052683,0.994058,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.403169,37.409135,-3.465314,-6.477206,0.015798,0.018629,0.572142,0.016493,13.269297,14.194613,12.310383,1.531341,0.976118,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.4236,37.356301,-3.601665,-6.27377,0.017013,0.018866,0.555763,0.01742,14.471591,15.313015,13.556798,0.983112,0.995136,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.446868,37.403088,-3.549508,-6.457806,0.044756,0.052008,0.631217,0.04919,16.55434,17.913023,15.416676,1.026172,0.955868,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.407643,37.39115,-3.540307,-6.497455,0.055924,0.066471,0.534427,0.058806,16.896427,18.340189,15.739621,0.936568,0.961121,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.396298,37.376027,-3.658778,-6.240314,0.01249,0.013371,0.570839,0.012598,13.516492,14.394402,12.581114,1.041735,0.995339,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.342193,37.352603,-3.544297,-6.246857,0.042807,0.047763,0.522699,0.044919,16.457523,17.530695,15.440265,1.022786,0.978122,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.575403,37.435978,-3.460498,-6.283776,0.035425,0.041605,0.540427,0.036997,16.266764,17.429443,15.192001,1.029843,0.970057,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.415675,37.377615,-3.598762,-6.470369,0.014169,0.016364,0.591201,0.014577,12.958935,13.832048,12.029285,1.090186,0.966436,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.392061,37.391897,-3.514136,-6.343242,0.062847,0.07957,0.489393,0.067406,17.027042,18.461105,15.855927,1.071285,0.963482,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.499799,37.439696,-3.534137,-6.22836,0.033966,0.036942,0.602274,0.033287,12.620819,,,1.395044,0.986932,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.473222,37.441441,-3.633511,-6.517126,0.030587,0.036704,0.570013,0.031432,15.875598,17.028948,14.813997,1.116558,0.982581,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
