Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
NGC_957             ,4463,457915673507144064,1,0.7966622247728349,39.09467102,57.552416,-0.21108608,-1.13193357,0.41694611,13.926045,14.320102,13.345904,            ,39.09467277,57.5524211
NGC_957             ,4463,457915707866873216,1,0.6952689585854182,39.10773176,57.5724898,-0.35309946,-1.1364362,0.41516165,14.51618,14.907706,13.938522,            ,39.10773469,57.5724949
NGC_957             ,4463,457915772285067904,1,0.7116595284304094,39.09117531,57.5710641,-0.13480006,-1.1487122,0.38807272,18.44743,19.643246,17.385868,            ,39.09117643,57.5710692
NGC_957             ,4463,457919075121767552,1,0.7306175961026167,39.53634394,57.6200348,-0.14714105,-1.10672807,0.41830874,16.304884,16.831062,15.606441,            ,39.53634516,57.6200397
NGC_957             ,4463,457919727956225792,1,0.690100362054422,39.44751697,57.6125611,-0.15390666,-1.10251759,0.43436965,14.809035,15.149527,14.283753,            ,39.44751825,57.612566
NGC_957             ,4463,457920415151033088,1,0.6844979679504875,39.22978463,57.5480532,-0.17589752,-1.12150865,0.36911667,15.716501,16.170658,15.088412,            ,39.22978609,57.5480582
NGC_957             ,4463,457920999262497792,1,0.8361241262238353,39.29623067,57.6041071,-0.12213496,-1.10556236,0.41209646,15.355403,15.726951,14.78037,            ,39.29623168,57.604112
NGC_957             ,4463,457921617741866368,1,0.763521972685964,39.13936015,57.5816483,-0.07850214,-1.07741746,0.4025104,15.895863,16.398052,15.222001,            ,39.1393608,57.5816531
NGC_957             ,4463,457921755180804352,1,0.7118385105624789,39.16861546,57.6138124,-0.28283728,-1.17846667,0.4040378,16.616169,17.421618,15.747436,            ,39.1686178,57.6138176
NGC_957             ,4463,457922133137921152,1,0.8361241262238353,39.18651383,57.6232558,-0.18035632,-1.07378986,0.41168064,13.852071,14.239178,13.278119,            ,39.18651532,57.6232606
NGC_957             ,4463,457922236217129472,1,0.8121705256912752,39.16429861,57.6444352,-0.23309106,-1.11809432,0.42289518,17.813902,18.815144,16.833576,            ,39.16430055,57.6444401
NGC_957             ,4463,457922579814499584,1,0.7540499271038608,39.38113599,57.6443848,-0.05613002,-1.08760726,0.41438905,16.467115,17.076788,15.697955,            ,39.38113646,57.6443897
NGC_957             ,4463,457922614174246656,1,0.6955360360734152,39.34436078,57.6314743,-0.20338921,-1.18019724,0.38026574,17.054653,17.711004,16.265537,            ,39.34436247,57.6314795
NGC_957             ,4463,457923026491089280,1,0.7621949983417537,39.38649003,57.6663469,-0.16373855,-1.1535391,0.42059345,16.160149,16.686491,15.460462,            ,39.38649139,57.666352
NGC_957             ,4463,457924263441648896,1,0.72891655140647,39.33858088,57.7372522,-0.15514436,-1.01703371,0.39711142,14.798617,15.251582,14.160986,            ,39.33858217,57.7372567
NGC_957             ,4463,457928489690011264,1,0.6991906554308287,39.98722372,57.6131717,-0.05953988,-1.15228343,0.41956746,14.843536,15.178049,14.329086,            ,39.98722421,57.6131769
NGC_957             ,4463,457931719505378816,1,0.786256803956421,39.84571786,57.6658589,-0.06531262,-1.1349076,0.41588031,13.742618,14.08086,13.219295,            ,39.8457184,57.6658639
NGC_957             ,4463,457932887736436096,1,0.7495164288855606,39.84770633,57.7074126,-0.03503166,-1.15274679,0.41465894,18.180573,18.940681,17.343332,            ,39.84770662,57.7074177
NGC_957             ,4463,457934365205147008,1,0.7574595350497614,40.16919598,57.6954803,-0.03241246,-1.11936739,0.40763813,13.317424,13.567609,12.903587,            ,40.16919625,57.6954853
NGC_957             ,4463,457937972977663488,1,0.6909216426163329,40.02157979,57.7295423,-0.09665842,-1.03660114,0.39641207,13.58208,13.966416,13.014443,            ,40.0215806,57.7295469
NGC_957             ,4463,457938007337406080,1,0.7573997371018599,39.96785818,57.7315653,-0.08547455,-1.03857315,0.41081866,13.655238,13.926846,13.207704,            ,39.9678589,57.73157
NGC_957             ,4463,457938041697123200,1,0.7149748897973778,39.99762067,57.7511186,0.01718315,-1.09159497,0.419557,15.997476,16.46987,15.349412,            ,39.99762053,57.7511235
NGC_957             ,4463,457938385294492032,1,0.7684317139914114,40.03845463,57.761573,-0.10801992,-1.12256196,0.40493576,10.38522,10.802215,9.758197,            ,40.03845553,57.761578
NGC_957             ,4463,457938935050329344,1,0.786256803956421,39.92148623,57.7521103,-0.05763635,-1.08326603,0.40376042,13.582118,13.853544,13.139118,            ,39.92148671,57.7521151
NGC_957             ,4463,457939106848994688,1,0.7198298076647544,39.90051184,57.7844312,-0.18637773,-1.05159971,0.42203473,13.574744,13.86495,13.110218,            ,39.9005134,57.7844358
NGC_957             ,4463,457939343068113664,1,0.6875616289729582,39.91080057,57.7964711,-0.03696475,-1.17148101,0.40971199,18.365295,18.775955,17.814632,            ,39.91080088,57.7964763
NGC_957             ,4463,457939759683988224,1,0.730728944356895,39.94484343,57.8270064,-0.06951523,-1.01819914,0.40739063,14.273097,14.623332,13.74145,            ,39.94484401,57.827011
