cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,457912856009998208,38.880828,57.399307,-0.248536,-1.142607,0.041617,0.045312,0.396420,0.054133,16.410200,17.162868,15.570205,0.993383,0.000000,0.961656,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458003187763094656,38.287684,57.342622,-0.398299,-1.011530,0.058435,0.061074,0.439662,0.072589,17.122965,17.917538,16.259502,1.033737,0.524774,0.939212,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458007688891541504,38.712686,57.434571,-0.320072,-1.089336,0.037482,0.042939,0.329908,0.050565,16.175762,16.737183,15.458035,0.998138,0.000000,0.945414,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457989993625875968,37.939959,57.251255,-0.320800,-1.154373,0.020373,0.020601,0.398529,0.024452,14.969873,15.316915,14.439034,1.020205,0.000000,0.968928,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457994735266530048,37.829089,57.360648,-0.364767,-1.179239,0.044031,0.044807,0.386237,0.053543,16.751303,17.543880,15.880146,1.022402,0.000000,0.930673,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458006108341005952,38.777769,57.348367,-0.199334,-1.052998,0.038705,0.044140,0.351326,0.049832,16.334700,16.915320,15.570930,1.045154,0.000000,0.918957,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458008788400403328,38.521098,57.377509,-0.304481,-0.974099,0.024465,0.027342,0.434523,0.032175,15.411364,15.949631,14.703398,0.957315,0.000000,0.975405,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458010128430155904,38.458069,57.440957,-0.217965,-1.062489,0.023869,0.025844,0.380730,0.030347,15.281283,15.739571,14.636765,0.999087,0.000000,0.986847,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458011777697554176,38.515608,57.490972,-0.348341,-1.133152,0.043855,0.042243,0.360091,0.054398,16.175220,16.746668,15.445450,1.060764,0.535804,0.977067,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458011812057291520,38.482351,57.496166,-0.251341,-1.098001,0.020573,0.021302,0.448615,0.026617,14.809228,15.198593,14.229010,1.004016,0.666568,0.991301,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
