source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,phot_bp_rp_excess_factor,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,pmra_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,phot_quality_ok,parallax_corrected,P_memb_3D
458008135565540736,38.72874103805507,57.47707945609827,-0.3004631369397398,0.04129715,-0.985879964908764,0.045371953,0.4218114841873649,0.054491114,16.264471,16.782919,15.569497,1.2134218,1.1016797,1.248239,1.4707462,,39.77701313529741,31,-0.16052641,0.049821816,0.020600718,True,0.45055248418736493,0.9501662819906965
458003497000741120,38.32366136210715,57.33740381698407,-0.3458315316556775,0.01574437,-0.9810878499106288,0.015667854,0.4333576668001194,0.018946841,14.281146,14.692581,13.685416,1.007165,1.0587955,1.2250971,1.5155702,,39.737619483738975,31,-0.12924406,0.20230657,0.072266795,True,0.4675666668001194,0.9098657925900888
458011434100418816,38.65126736951019,57.52566343116425,-0.2885320304436455,0.013046124,-1.051763153986746,0.0144273285,0.4184570835350149,0.01814708,13.935825,14.325761,13.357216,0.96854496,1.056219,1.2236265,1.5251315,,39.83827563503079,31,-0.11305552,0.08685049,-0.029316157,True,0.4528020835350149,0.9589474411022225
458008028181489024,38.72134212030813,57.46717731957855,-0.3179258958791794,0.051754087,-1.0851552653392962,0.05353486,0.2892605965309632,0.06406297,16.746223,17.429617,15.939336,1.4902811,1.0010338,1.2715155,1.4212407,,39.76956042853448,31,-0.26071978,0.08906403,0.016749678,True,0.3190655965309632,0.9126171767648137
458008719680938752,38.54830220004542,57.35523198416463,-0.2300110825921819,0.05821707,-1.0601399776492302,0.0652112,0.4777728522883713,0.074764304,17.049442,17.775906,16.222645,1.5532608,1.0430515,1.2728642,1.4071832,,39.70481962364773,31,-0.07729821,0.079312995,0.017995678,True,0.5081678522883712,0.932512789510891
458005764743443072,38.560127371234174,57.348542615783046,-0.2412208763442171,0.061224524,-0.958695172970867,0.06464785,0.3843530661537073,0.076899916,17.126492,17.842144,16.302952,1.5391922,1.0415976,1.2738801,1.4089187,,39.69612213818408,31,-0.21433802,0.059665177,-0.03909277,True,0.4147340661537073,0.9379398858612699
458016656780452224,38.241409408630126,57.46142348559965,-0.2187147201978203,0.038206846,-1.1135374944918568,0.040645685,0.3478289112223112,0.04625511,16.266298,16.823633,15.547054,1.2765789,1.0282574,1.2504576,1.4578003,,39.86894515859744,31,-0.12865023,0.085281886,0.15800749,True,0.3767059112223112,0.9160057080638373
458017756292135680,38.06347623316129,57.41045691232404,-0.27098466625506,0.02639798,-1.075436072629674,0.027702482,0.4027565851886052,0.030251395,15.471327,15.909031,14.855971,1.0530596,1.0175178,1.2265195,1.5026922,,39.86143222284152,31,-0.1293323,0.0689182,0.13028578,True,0.4362865851886052,0.9538634991514467
458017756292135936,38.07082279554117,57.40874546837366,-0.2389541214089848,0.065071136,-1.1296153031111464,0.06941704,0.4133764010859604,0.07948931,17.226274,18.08142,16.328997,1.7524242,1.0354528,1.2918053,1.3717618,,39.85825530774886,31,-0.108867146,0.047259897,0.22267471,True,0.4454474010859604,0.909727819328028
458011502819660160,38.53175674410975,57.47159645472336,-0.2832528149094587,0.03578855,-1.0293021965321956,0.03946725,0.3835158515116724,0.045655224,16.068377,16.578327,15.374539,1.2037878,1.0281773,1.2509376,1.4723642,,39.81483394683315,31,-0.22112498,0.1635377,0.0005674184,True,0.4129608515116724,0.9530200871779987
458019783516650496,38.13727978089904,57.46685838105491,-0.3421465810169528,0.042575937,-1.0363895675049348,0.04129333,0.4421542373695052,0.049846787,16.428207,17.169632,15.587162,1.5824699,0.9812276,1.2796885,1.4052699,,39.89672590935301,31,-0.08627975,0.17247385,0.07083409,True,0.47223923736950524,0.9159407234859255
458019852236111616,38.18533084805614,57.478754158038,-0.2914530082751048,0.020588784,-1.1058818882349102,0.021405118,0.4544650810254971,0.024530983,15.034917,15.420552,14.464298,0.956254,1.0056932,1.2203773,1.5249319,,39.897055408583086,31,-0.10531103,0.08980814,0.11017264,True,0.4880430810254971,0.9476415000529399
458020401991940096,38.03579572616986,57.48235767687999,-0.3383654970508191,0.07428127,-0.9504640994814584,0.079904355,0.5269917509414543,0.092048,17.564125,18.3493,16.70408,1.6452198,0.9777687,1.2813427,1.3968734,,39.93314824874841,31,-0.11307715,0.06246508,0.042680237,True,0.5573467509414544,0.9164262757455406
458002569287793152,38.4455638106169,57.33747751898751,-0.2917432898496435,0.024435014,-1.1037152282918965,0.026787387,0.4169367488869842,0.030529052,15.391759,15.90536,14.701731,1.2036295,1.0180124,1.2466223,1.4742519,,39.711016039459054,31,-0.14479965,0.23252128,-0.0419906,True,0.45086174888698416,0.9457789927278151
458012052575427072,38.593050808943694,57.52269340369769,-0.3357563706540435,0.02083011,-1.0723118650750942,0.024030402,0.3904508569292994,0.029022884,14.959185,15.35647,14.373252,0.9832182,1.0509821,1.2250656,1.5200622,,39.84821217094174,31,-0.22601423,0.09749162,0.0055595194,True,0.42414085692929937,0.9125535657440237
458008062541226624,38.74093517337136,57.46290330325925,-0.2718866263465496,0.055581138,-1.0948311827265438,0.057744656,0.3527671880647937,0.07123926,16.951267,17.794128,16.048933,1.7451954,1.0123974,1.3000507,1.3747587,,39.76139632044477,31,-0.18913013,0.02124222,-0.02453824,True,0.38451818806479365,0.9292464371287796
458010265869085952,38.477717723212976,57.46854422175964,-0.3185771995161394,0.020537859,-1.1277034233768075,0.021549124,0.4066542401455726,0.026323734,14.938556,15.428244,14.267813,1.1604309,1.025482,1.2426937,1.4816262,,39.82382065033397,31,-0.23321576,0.16846669,0.01233965,True,0.4407122401455726,0.9197082458421988
458015282390973696,38.21940302821412,57.38861620622679,-0.3236687082332867,0.021851439,-1.142515074200415,0.021806952,0.4268147412887912,0.027198238,15.184331,15.6516075,14.532975,1.1186323,1.0304177,1.238511,1.4900256,,39.80726014481268,31,-0.09407841,0.168368,0.1185573,True,0.4606617412887912,0.9074567966471306
458023318268102912,38.31075464685537,57.54571627516899,-0.3076753366682897,0.052413795,-1.0213596351047858,0.05607977,0.4074426133537026,0.06742535,16.828173,17.533695,16.011925,1.5217705,0.9728269,1.271381,1.4162185,,39.9307744545829,31,-0.20082584,0.041469123,0.06422322,True,0.4374136133537026,0.9385686402978667
458023528728025856,38.324833653516464,57.58056851076464,-0.2796387573054799,0.019388007,-1.0224296649092162,0.020353092,0.4041257329938874,0.02409807,14.80609,15.191018,14.24036,0.95065784,1.0283453,1.2175107,1.5270231,,39.95953420995884,31,-0.18772148,0.07322622,0.037701074,True,0.43782073299388735,0.9615058678730553
458012533611724032,38.58508535343739,57.58073325913931,-0.3045852961428777,0.049813744,-1.131392515935639,0.05196741,0.5183630897641941,0.06370087,16.828762,17.516272,16.013086,1.5031853,0.91216177,1.2772453,1.4191318,,39.90300690194019,31,-0.1554899,0.11819305,0.050395247,True,0.548256089764194,0.9182554154253777
458016549399162112,38.24947669545127,57.43094172563959,-0.2968975186989024,0.03344612,-1.115093222842958,0.035654515,0.4045809264394848,0.043060027,16.0745,16.570053,15.349815,1.2202377,0.9996144,1.2799718,1.4780483,,39.839334962629394,31,-0.1555645,0.1664475,0.10395128,True,0.4338099264394848,0.9358093308358227
458011674618335744,38.54739660371251,57.49155778217766,-0.2957357438479313,0.0427899,-1.014846644254606,0.046416804,0.4501301136543922,0.05664194,16.409706,17.034021,15.632251,1.4017706,1.062041,1.2694564,1.437034,,39.8296781142825,31,-0.23430827,0.1410205,0.025203623,True,0.4794001136543922,0.9499867949596459
458010197152415872,38.42846644101788,57.462500013312265,-0.2921023621010998,0.033430595,-1.0797972893868286,0.03435676,0.4422994131722045,0.040759835,15.953414,16.463297,15.271702,1.1915951,1.0113566,1.242109,,1.485168,39.82903972513153,95,-0.1461127,0.111694485,0.10027201,True,0.4732784131722045,0.9474503785688577
458019611717961216,38.095136409788864,57.469390507584464,-0.2428974682683054,0.03746858,-1.1387737039711474,0.04006646,0.436436153143112,0.045725834,16.358019,16.978224,15.594701,1.383523,1.0292981,1.2598602,1.4411823,,39.9082833238279,31,-0.06824767,0.06498928,0.03403048,True,0.465595153143112,0.9284102975066499
458014904433879552,38.26862024228265,57.34425736804744,-0.2029626248788547,0.016579332,-1.0140432724270316,0.016905684,0.4302570405176913,0.019930217,14.522241,14.916621,13.943699,0.9729223,1.0543568,1.221513,1.5216426,,39.75594256986842,31,-0.060656138,0.14674301,0.03899369,True,0.46425704051769134,0.9260790158913682
458014732635178752,38.10090997387992,57.37878096728296,-0.1927729917470176,0.040697142,-1.0347861035977717,0.041571673,0.3685567476980769,0.046045173,16.383951,16.968449,15.623943,1.3445053,1.0184053,1.2709694,1.4499325,,39.82428410309516,31,-0.15300792,0.046398092,0.16638486,True,0.3976007476980769,0.9073744468396892
458014457757286144,38.136945202670624,57.35436190241677,-0.2687747521798202,0.02624932,-1.0899117777761498,0.02786004,0.432599661634877,0.031413537,15.506435,15.949986,14.875784,1.0742025,0.9829091,1.2344434,1.500186,,39.79406677169008,31,-0.073271774,0.12949474,0.27158585,True,0.466157661634877,0.9521858387197614
458014973153348096,38.24221563196885,57.35834563435617,-0.2515860138403011,0.045622516,-1.1067249823469218,0.045764707,0.4249661001482737,0.055132873,16.61079,17.340528,15.741021,1.5995073,1.0278076,1.3081369,1.4067205,,39.77460377784307,31,-0.13766043,0.0822094,0.1545215,True,0.4551221001482737,0.9359560370896594
458022738454125440,38.25171903870896,57.48013541900008,-0.2737411182516451,0.03900329,-1.101241117842172,0.04327453,0.3893833166695278,0.04734415,16.159842,16.691858,15.45142,1.2404385,1.0218037,1.2526006,1.4669963,,39.88377990411337,31,-0.13543637,-0.041855812,0.12529945,True,0.4181063166695278,0.941437485361572
458023219490406400,38.33133602817245,57.54600025368081,-0.2995962084565085,0.0120538,-1.1498805866231308,0.012776847,0.387172189786213,0.015736049,13.582097,13.950202,13.030721,0.9194813,1.0358086,1.216146,1.5346472,,39.92653918949231,31,-0.178574,0.088200696,0.05917311,True,0.421683189786213,0.9301596975298266
458023253850133376,38.351770436992666,57.55625737622413,-0.236762428517115,0.020727022,-1.0540297633429028,0.022094302,0.4278007847910926,0.027472172,14.9174795,15.414879,14.238898,1.1759806,1.0247272,1.2450814,1.479359,,39.93144834999024,31,-0.1647772,0.103810124,0.03151828,True,0.46185478479109265,0.9521840585167106
458023356929636224,38.27829402136726,57.549665321159466,-0.2675073496837872,0.018469881,-1.1343855786975623,0.020365935,0.4219691829810225,0.024245441,14.651921,15.082966,14.039935,1.0430307,1.0798233,1.2272022,1.5061555,,39.94147327551821,31,-0.15612599,0.03292586,0.03266919,True,0.4559451829810225,0.9443653232661718
458029095005597184,38.248868418858905,57.66142657726844,-0.2106053102695476,0.056409672,-1.030397212359668,0.059304047,0.5412890739824066,0.066609204,16.965677,17.759624,16.096432,1.6631927,0.998253,1.28642,1.3924824,,40.04995207645963,31,-0.24316795,-0.09102832,0.16791081,True,0.5721670739824065,0.9269567509911878
